
# Curve 0 of 1, 221 points
# Curve title: "2nd dose"
# x y xlow xhigh type
-1  0 -1 -1  i
 361  0  361  361  i

-1  0 -1 -1  i
 361  0  361  361  i
 362  0  362  362  i

-1  0 -1 -1  i
 362  0  362  362  i
 363  0  363  363  i
 364  0  364  364  i

-1  0 -1 -1  i
 364  0  364  364  i
 365  0  365  365  i
 366  0  366  366  i
 367  0  367  367  i

-1  0 -1 -1  i
 367  0  367  367  i
 368  0  368  368  i
 369  0  369  369  i

-1  0 -1 -1  i
 369  0  369  369  i
 370  0  370  370  i

-1  0 -1 -1  i
 371  0  371  371  i

-1  0 -1 -1  i
 371  0  371  371  i

-1  0 -1 -1  i
 372  0  372  372  i

-1  0 -1 -1  i

-1  0 -1 -1  i
 372  0  372  372  i

-1  0 -1 -1  i
 372  0  372  372  i
 373  0  373  373  i
 374  0  374  374  i
 375  0  375  375  i

-1  0 -1 -1  i
 375  0  375  375  i
 376  0  376  376  i

-1  0 -1 -1  i
 376  0  376  376  i

-1  0 -1 -1  i
 376  0  376  376  i

-1  0 -1 -1  i
 376  0  376  376  i

-1  0 -1 -1  i
 377  0  377  377  i
 378  0  378  378  i

-1  0 -1 -1  i
 378  0  378  378  i
 379  0  379  379  i

-1  0 -1 -1  i
 379  0  379  379  i

-1  0 -1 -1  i
 379  0  379  379  i
 380  0  380  380  i

-1  0 -1 -1  i
 380  0  380  380  i

-1  0 -1 -1  i
 380  0  380  380  i

-1  0 -1 -1  i
 380  0  380  380  i

-1  0 -1 -1  i
 380  0  380  380  i

-1  1798 -1 -1  i
 380  0  380  380  i
 381  0  381  381  i
 382  4  382  382  i
 383  16  383  383  i

-1  7745 -1 -1  i
 383  3  383  383  i
 384  275  384  384  i
 385  150  385  385  i
 386  40  386  386  i
 387  77  387  387  i

-1  8879 -1 -1  i
 387  2  387  387  i
 388  9  388  388  i
 389  0  389  389  i
 390  20  390  390  i
 391  11  391  391  i

-1  4460 -1 -1  i
 391  0  391  391  i
 392  20  392  392  i

-1  2428 -1 -1  i
 392  0  392  392  i
 393  277  393  393  i

-1  14580 -1 -1  i
 393  11  393  393  i
 394  439  394  394  i
 395  66  395  395  i
 396  81  396  396  i
 397  165  397  397  i

-1  590 -1 -1  i
 397  0  397  397  i

-1  486 -1 -1  i
 397  8  397  397  i

-1  2710 -1 -1  i
 397  157  397  397  i

-1  23060 -1 -1  i
 397  123  397  397  i
 398  830  398  398  i
 399  964  399  399  i
 400  365  400  400  i

-1  7035 -1 -1  i
 400  780  400  400  i

-1  11020 -1 -1  i
 400  406  400  400  i
 401  1306  401  401  i

-1  24623 -1 -1  i
 401  4  401  401  i
 402  1044  402  402  i
 403  1375  403  403  i
 404  3430  404  404  i
 405  4513  405  405  i
 406  3971  406  406  i

-1  35341 -1 -1  i
 406  1645  406  406  i
 407  7829  407  407  i
 408  7648  408  408  i
 409  1899  409  409  i
 410  1123  410  410  i
 411  5042  411  411  i
 412  4865  412  412  i
 413  4302  413  413  i
 414  4055  414  414  i
 415  2402  415  415  i

-1  424960 -1 -1  i
 415  1705  415  415  i
 416  1023  416  416  i
 417  869  417  417  i
 418  3681  418  418  i
 419  4177  419  419  i
 420  3677  420  420  i
 421  3274  421  421  i
 422  3163  422  422  i
 423  455  423  423  i
 424  448  424  424  i
 425  2149  425  425  i
 426  2053  426  426  i
 427  2487  427  427  i
 428  2797  428  428  i
 429  3060  429  429  i
 430  728  430  430  i
 431  720  431  431  i
 432  3025  432  432  i
 433  3999  433  433  i
 434  3891  434  434  i
 435  4295  435  435  i
 436  4191  436  436  i
 437  911  437  437  i
 438  607  438  438  i
 439  5168  439  439  i
 440  6623  440  440  i
 441  6111  441  441  i
 442  7665  442  442  i
 443  7704  443  443  i
 444  1391  444  444  i
 445  1099  445  445  i
 446  5676  446  446  i
 447  5558  447  447  i
 448  5598  448  448  i
 449  7167  449  449  i
 450  5635  450  450  i
 451  1277  451  451  i
 452  1049  452  452  i
 453  4768  453  453  i
 454  3976  454  454  i
 455  4675  455  455  i
 456  4977  456  456  i
 457  1396  457  457  i
 458  1234  458  458  i
 459  1175  459  459  i
 460  760  460  460  i
 461  2929  461  461  i
 462  2293  462  462  i
 463  2944  463  463  i
 464  2476  464  464  i
 465  1021  465  465  i
 466  627  466  466  i
 467  1423  467  467  i
 468  1589  468  468  i
 469  1607  469  469  i


